,JAN,SHOSINM,KANSU,ITMCD,DAIGENRECD,CHUGENRECD,SHOGENRECD,SIKIRIBANCD,ITMNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,CHOSHANM,SHPNSHACD,SHPNSHANM,SAKUHINCD,SAKUHINNM,SOSHONM,HATUBAIYMD,ANNUAL_SALES,SERIESNM,seriesnm_candidate
78,9784299036513,東大王からの挑戦！　めざせ子ども東大王　最強クイズ,,1076,16,61,1,11,書籍,児童書,実用百科,実用百科,クイズ・なぞなぞ,ＴＢＳテレビ「東大王」クイズ制作チーム,299,宝島社,43385234.0,東大王からの挑戦！　めざせ子ども東大王　最強クイズ,,20221212,1491,,
79,9784309629315,人類の物語　Ｕｎｓｔｏｐｐａｂｌｅ　Ｕｓ　ヒトはこうして地球の支配者になった,,1076,16,71,1,47,書籍,児童書,学習百科,学習百科,歴史（読みもの）,ユヴァル・ノア・ハラリ,309,河出書房新社,43369411.0,人類の物語　Ｕｎｓｔｏｐｐａｂｌｅ　Ｕｓ　ヒトはこうして地球の支配者になった,,20221124,3248,,
80,9784391158779,すみっコぐらしをさがせ　あつまるとあんしんです編,,1076,16,21,1,51,書籍,児童書,キャラクター絵本,キャラクター絵本,その他キャラクター,主婦と生活社,391,主婦と生活社,43372086.0,すみっコぐらしをさがせ　あつまるとあんしんです編,,20221125,3339,,すみっコぐらし
81,9784065264461,日本の歴史,,1076,16,81,1,11,書籍,児童書,図鑑,図鑑,学習図鑑シリーズ,西谷大,6,講談社,43358029.0,日本の歴史,講談社の動く図鑑ＭＯＶＥ,20221129,3960,講談社の動く図鑑ＭＯＶＥ,
82,9784265820658,ほねほねザウルス　パーフェクト図鑑,,1076,16,41,5,13,書籍,児童書,読み物,読み物,ほねほねザウルスシリーズ,カバヤ食品,265,岩崎書店,43370950.0,ほねほねザウルス　パーフェクト図鑑,,20221117,2191,,
83,9784065294994,はってはがせる！仮面ライダーギーツ超シールバトルロイヤル！,,1076,16,35,1,11,書籍,児童書,絵本塔,絵本塔,講談社,講談社,6,講談社,43357380.0,はってはがせる！仮面ライダーギーツ超シールバトルロイヤル！,講談社ＭＯＯＫ　テレビマガジンＭＯＯＫ,20221024,1687,講談社ＭＯＯＫ　テレビマガジンＭＯＯＫ,
84,9784065302576,超復刻版　タローマンかるた,,1076,16,91,1,5,書籍,児童書,グッズ,グッズ,かるた,ＮＨＫ「ＴＡＲＯＭＡＮ」制作班,6,講談社,43370941.0,超復刻版　タローマンかるた,［バラエティ］,20221205,1043,,
85,9784593103621,サンタさんのぼうし　どこいった？,,1076,16,7,3,92,書籍,児童書,絵本,海外絵本,海外絵本,エマニュエル・レ,593,ほるぷ出版,43357126.0,サンタさんのぼうし　どこいった？,海外秀作絵本,20221011,1990,,
86,9784593103782,クリスマスプレゼントなぁに？,,1076,16,11,2,1,書籍,児童書,幼児絵本,ファーストブック,ファーストブック,フフフーン,593,ほるぷ出版,43357128.0,クリスマスプレゼントなぁに？,めくって　たのしい　しかけえほん,20221011,1726,めくって　たのしい　しかけえほん,
87,9784408640617,マンガでよくわかる　ねこねこ日本史＜ジュニア版＞,１１,1076,16,71,1,47,書籍,児童書,学習百科,学習百科,歴史（読みもの）,そにしけんじ,408,実業之日本社,42910337.0,マンガでよくわかる　ねこねこ日本史＜ジュニア版＞,,20221201,1274,,
88,9784774333359,４さいからできる　しぜんとかがく,,1076,16,71,1,4,書籍,児童書,学習百科,学習百科,理科,横山正,7743,くもん出版,43366185.0,４さいからできる　しぜんとかがく,シールたっぷりレッスン,20221202,1225,シールたっぷりレッスン,
89,9784284001205,いちねんせいえほん　はじめての「よのなかルールブック」,,1076,16,11,3,1,書籍,児童書,幼児絵本,知育絵本,知育絵本,高濱正伸,284,日本図書センター,43383708.0,いちねんせいえほん　はじめての「よのなかルールブック」,,20230118,3484,,まるごとシールブックＤＸ
90,9784284001199,おまもりえほん　こどもぼうはんルールブック,,1076,16,7,1,92,書籍,児童書,絵本,国内絵本,国内絵本,国崎信江,284,日本図書センター,43366741.0,おまもりえほん　こどもぼうはんルールブック,,20221019,2378,,まるごとシールブックＤＸ
