JAN,SHOSINM,KANSU,ITMCD,DAIGENRECD,CHUGENRECD,SHOGENRECD,SIKIRIBANCD,ITMNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,CHOSHANM,SHPNSHACD,SHPNSHANM,SAKUHINCD,SAKUHINNM,SOSHONM,HATUBAIYMD,ANNUAL_SALES,SUBLABEL,SERIESNM
9784036357901,ふしぎ駄菓子屋　銭天堂,１９,1076,16,0041,0005,0024,書籍,児童書,読み物,読み物,ふしぎ駄菓子屋銭天堂シリーズ,廣嶋玲子,0000003,偕成社,42467235,ふしぎ駄菓子屋　銭天堂,,20230405,9690,,
9784041122075,どっちが強い！？からだレスキュー　免疫バトル編,４,1076,16,0071,0005,0031,書籍,児童書,学習百科,学習漫画,どっちが強い！？シリーズ,レッドコード,0000004,ＫＡＤＯＫＡＷＡ,43303506,どっちが強い！？からだレスキュー,角川まんが科学シリーズ,20230323,1800,,
9784083217654,渚くんをお兄ちゃんとは呼ばない　〜これからも大好き〜,,1076,16,0055,0001,0018,書籍,児童書,児童文庫,児童文庫,集英社みらい文庫,夜野せせり,0000008,集英社,43386788,渚くんをお兄ちゃんとは呼ばない　～これからも大好き～,集英社みらい文庫,20230127,3942,渚くんをお兄ちゃんとは呼ばない,
9784533151538,るるぶマンガとクイズで楽しく学ぶ！宇宙,,1076,16,0071,0005,0091,書籍,児童書,学習百科,学習漫画,その他学習漫画,的川泰宣,0000533,ＪＴＢ,43370157,るるぶマンガとクイズで楽しく学ぶ！宇宙,,20221115,1281,こども絵本[学習まんが],
9784091164995,映画ドラえもん　のび太と空の理想郷シールおあそびえほん,,1076,16,0035,0001,0001,書籍,児童書,絵本塔,絵本塔,小学館,藤子・Ｆ・不二雄,0000009,小学館,43401919,映画ドラえもん　のび太と空の理想郷シールおあそびえほん,小学館のテレビ絵本,20230303,1170,テレビ絵本,
9784053055910,ドラゴンドリル　小４計算のまき　どんどん進めたくなる！めざせ！小４の計算マスター,,1076,19,0005,0001,0011,書籍,学習参考書,小学ドリル,小学ドリル,学研毎日のドリル,Ｇａｋｋｅｎ,0000005,学研プラス,43388663,ドラゴンドリル　小４計算のまき　どんどん進めたくなる！めざせ！小４の計算マスター,,20230224,1038,ドラゴンドリル,
9784065312780,ひろがるスカイ！プリキュア　ひらがなカタカナドリル,,1076,19,0001,0001,0001,書籍,学習参考書,幼児ドリル,幼児ドリル,幼児ドリル,市川希,0000006,講談社,43393678,ひろがるスカイ！プリキュア　ひらがなカタカナドリル,プリキュアドリルシリーズ,20230327,1717,,
9784344791169,こども歳時記かるた,,1076,16,0091,0001,0005,書籍,児童書,グッズ,グッズ,かるた,高野紀子,0000344,幻冬舎,43379316,こども歳時記かるた,［バラエティ］,20221124,1071,,
9784083217722,絶対好きにならない同盟　〜初恋の人と今、好きな人〜,,1076,16,0055,0001,0018,書籍,児童書,児童文庫,児童文庫,集英社みらい文庫,夜野せせり,0000008,集英社,43402792,絶対好きにならない同盟　～初恋の人と今、好きな人～,集英社みらい文庫,20230317,1274,,
9784892880896,北辰のかこもん　理科　２０２２年度中３北辰テスト過去問題集,,1076,19,0021,0005,0011,書籍,学習参考書,中学学参,基礎学習,基礎学習問題集,ｍｉｏ,0089288,北辰図書出版,43412914,北辰のかこもん　理科　２０２２年度中３北辰テスト過去問題集,,20230322,2027,,
9784591173473,しょうぼうしゃしゅつどう！　たのしいしかけえほん,,1076,16,0011,0002,0001,書籍,児童書,幼児絵本,ファーストブック,ファーストブック,水島ぱぎい,0000591,ポプラ社,43367766,しょうぼうしゃしゅつどう！　たのしいしかけえほん,,20221025,1144,単行本,
9784092536500,ポケモンずかんドリル　小学２年生　かけ算,,1076,19,0005,0001,0091,書籍,学習参考書,小学ドリル,小学ドリル,その他ドリル,矢部一夫,0000009,小学館,43396896,ポケモンずかんドリル　小学２年生　かけ算,知育ドリル,20230222,6771,知育ドリル,
