JAN,SHOSINM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
9784834018134,大草原の小さな家　インガルス一家の物語２,,大草原の小さな家,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,ローラ・インガルス・ワイルダー,福音館文庫
9784036521203,吾輩は猫である　上,,吾輩は猫である,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,夏目漱石,偕成社文庫
9784036509300,シャーロック＝ホームズの冒険（中）,,シャーロック＝ホームズの冒険,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,コナン・ドイル,偕成社文庫
9784036524808,透明人間,,透明人間,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ハーバート・ジョージ・ウェルズ,偕成社文庫
9784863895928,もののけ屋　三度の飯より妖怪が好き,,もののけ屋　三度の飯より妖怪が好き,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,廣嶋玲子,静山社ペガサス文庫
9784834018257,グリムの昔話,１,グリムの昔話,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,グリム兄弟,福音館文庫
9784834020939,海底二万海里（上）,,海底二万海里,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,ジュール・ヴェルヌ,福音館文庫
9784035508809,放課後の時間割,,放課後の時間割,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,岡田淳,偕成社文庫
9784036521302,吾輩は猫である　下,,吾輩は猫である,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,夏目漱石,偕成社文庫
9784863895829,悪ガキ７－セブン－　いたずらｔｗｉｎｓのキューピッド作戦,,悪ガキ７－セブン－　いたずらｔｗｉｎｓのキューピッド作戦,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,宗田理,静山社ペガサス文庫
9784036525409,宇宙戦争,,宇宙戦争,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ハーバート・ジョージ・ウェルズ,偕成社文庫
9784036519903,地底旅行,,地底旅行,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ジュール・ヴェルヌ,
9784834006179,秘密の花園,,秘密の花園,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,フランシス・ホジソン・バーネット,福音館文庫
